,name,s1,s2,s3,split,audio_path,rating,Q,A
13,CZ1511-14,80.0,83.0,87.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-14.wav,4.5,What kind of performance might this be?,This is a student's performance.
13,CZ1511-14,80.0,83.0,87.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-14.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
14,CZ1511-15,93.0,98.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-15.wav,5.0,"How would you rate the performance, in a scale of 5?",5.0
14,CZ1511-15,93.0,98.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-15.wav,5.0,What kind of performance might this be?,This is a student's performance.
14,CZ1511-15,93.0,98.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-15.wav,5.0,"Which difficulty level is the piece, in a scale of 9?",3
15,CZ1511-16,83.0,80.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-16.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
15,CZ1511-16,83.0,80.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-16.wav,4.5,What kind of performance might this be?,This is a student's performance.
15,CZ1511-16,83.0,80.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-16.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
16,CZ1511-17,70.0,60.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-17.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
16,CZ1511-17,70.0,60.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-17.wav,3.5,What kind of performance might this be?,This is a student's performance.
16,CZ1511-17,70.0,60.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-17.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
17,CZ1511-18,82.0,70.0,78.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-18.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
17,CZ1511-18,82.0,70.0,78.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-18.wav,4.0,What kind of performance might this be?,This is a student's performance.
17,CZ1511-18,82.0,70.0,78.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-18.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
18,CZ1511-19,85.0,88.0,90.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-19.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
18,CZ1511-19,85.0,88.0,90.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-19.wav,4.5,What kind of performance might this be?,This is a student's performance.
18,CZ1511-19,85.0,88.0,90.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-19.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
19,CZ1511-20,78.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-20.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
19,CZ1511-20,78.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-20.wav,4.0,What kind of performance might this be?,This is a student's performance.
19,CZ1511-20,78.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-20.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
20,CZ1511-21,70.0,75.0,78.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-21.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
20,CZ1511-21,70.0,75.0,78.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-21.wav,4.0,What kind of performance might this be?,This is a student's performance.
20,CZ1511-21,70.0,75.0,78.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-21.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
21,CZ1511-22,65.0,60.0,70.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-22.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
21,CZ1511-22,65.0,60.0,70.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-22.wav,3.5,What kind of performance might this be?,This is a student's performance.
21,CZ1511-22,65.0,60.0,70.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-22.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
22,CZ1511-24,92.0,90.0,95.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-24.wav,5.0,"How would you rate the performance, in a scale of 5?",5.0
22,CZ1511-24,92.0,90.0,95.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-24.wav,5.0,What kind of performance might this be?,This is a student's performance.
22,CZ1511-24,92.0,90.0,95.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-24.wav,5.0,"Which difficulty level is the piece, in a scale of 9?",3
23,CZ1511-25,70.0,63.0,65.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-25.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
23,CZ1511-25,70.0,63.0,65.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-25.wav,3.5,What kind of performance might this be?,This is a student's performance.
23,CZ1511-25,70.0,63.0,65.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-25.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
24,CZ1511-26,65.0,63.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-26.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
24,CZ1511-26,65.0,63.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-26.wav,3.5,What kind of performance might this be?,This is a student's performance.
24,CZ1511-26,65.0,63.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-26.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
25,CZ1511-27,90.0,90.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-27.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
25,CZ1511-27,90.0,90.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-27.wav,4.5,What kind of performance might this be?,This is a student's performance.
25,CZ1511-27,90.0,90.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-27.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
26,CZ1511-28,92.0,90.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-28.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
26,CZ1511-28,92.0,90.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-28.wav,4.5,What kind of performance might this be?,This is a student's performance.
26,CZ1511-28,92.0,90.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-28.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
27,CZ1511-29,83.0,85.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-29.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
27,CZ1511-29,83.0,85.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-29.wav,4.5,What kind of performance might this be?,This is a student's performance.
27,CZ1511-29,83.0,85.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-29.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
28,CZ1511-30,90.0,95.0,92.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-30.wav,5.0,"How would you rate the performance, in a scale of 5?",5.0
28,CZ1511-30,90.0,95.0,92.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-30.wav,5.0,What kind of performance might this be?,This is a student's performance.
28,CZ1511-30,90.0,95.0,92.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-30.wav,5.0,"Which difficulty level is the piece, in a scale of 9?",3
29,CZ1511-31,65.0,55.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-31.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
29,CZ1511-31,65.0,55.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-31.wav,3.5,What kind of performance might this be?,This is a student's performance.
29,CZ1511-31,65.0,55.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-31.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
30,CZ1511-32,93.0,98.0,90.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-32.wav,5.0,"How would you rate the performance, in a scale of 5?",5.0
30,CZ1511-32,93.0,98.0,90.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-32.wav,5.0,What kind of performance might this be?,This is a student's performance.
30,CZ1511-32,93.0,98.0,90.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-32.wav,5.0,"Which difficulty level is the piece, in a scale of 9?",3
31,CZ1511-33,60.0,40.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-33.wav,3.0,"How would you rate the performance, in a scale of 5?",3.0
31,CZ1511-33,60.0,40.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-33.wav,3.0,What kind of performance might this be?,This is a student's performance.
31,CZ1511-33,60.0,40.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-33.wav,3.0,"Which difficulty level is the piece, in a scale of 9?",3
32,CZ1511-34,83.0,85.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-34.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
32,CZ1511-34,83.0,85.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-34.wav,4.5,What kind of performance might this be?,This is a student's performance.
32,CZ1511-34,83.0,85.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-34.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
33,CZ1511-35,78.0,75.0,80.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-35.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
33,CZ1511-35,78.0,75.0,80.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-35.wav,4.0,What kind of performance might this be?,This is a student's performance.
33,CZ1511-35,78.0,75.0,80.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-35.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
34,CZ1511-36,70.0,65.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-36.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
34,CZ1511-36,70.0,65.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-36.wav,3.5,What kind of performance might this be?,This is a student's performance.
34,CZ1511-36,70.0,65.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-36.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
35,CZ1511-37,93.0,90.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-37.wav,5.0,"How would you rate the performance, in a scale of 5?",5.0
35,CZ1511-37,93.0,90.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-37.wav,5.0,What kind of performance might this be?,This is a student's performance.
35,CZ1511-37,93.0,90.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-37.wav,5.0,"Which difficulty level is the piece, in a scale of 9?",3
36,CZ1511-38,70.0,60.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-38.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
36,CZ1511-38,70.0,60.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-38.wav,3.5,What kind of performance might this be?,This is a student's performance.
36,CZ1511-38,70.0,60.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-38.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
37,CZ1511-39,50.0,43.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-39.wav,3.0,"How would you rate the performance, in a scale of 5?",3.0
37,CZ1511-39,50.0,43.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-39.wav,3.0,What kind of performance might this be?,This is a student's performance.
37,CZ1511-39,50.0,43.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-39.wav,3.0,"Which difficulty level is the piece, in a scale of 9?",3
38,CZ1511-40,65.0,70.0,78.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-40.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
38,CZ1511-40,65.0,70.0,78.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-40.wav,4.0,What kind of performance might this be?,This is a student's performance.
38,CZ1511-40,65.0,70.0,78.0,test,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-40.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
39,CZ1511-41,85.0,85.0,90.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-41.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
39,CZ1511-41,85.0,85.0,90.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-41.wav,4.5,What kind of performance might this be?,This is a student's performance.
39,CZ1511-41,85.0,85.0,90.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-41.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
40,CZ1511-42,80.0,78.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-42.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
40,CZ1511-42,80.0,78.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-42.wav,4.5,What kind of performance might this be?,This is a student's performance.
40,CZ1511-42,80.0,78.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-42.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
41,CZ1511-43,75.0,70.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-43.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
41,CZ1511-43,75.0,70.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-43.wav,4.0,What kind of performance might this be?,This is a student's performance.
41,CZ1511-43,75.0,70.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-43.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
42,CZ1511-44,60.0,55.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-44.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
42,CZ1511-44,60.0,55.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-44.wav,3.5,What kind of performance might this be?,This is a student's performance.
42,CZ1511-44,60.0,55.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-44.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
43,CZ1511-45,60.0,45.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-45.wav,3.0,"How would you rate the performance, in a scale of 5?",3.0
43,CZ1511-45,60.0,45.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-45.wav,3.0,What kind of performance might this be?,This is a student's performance.
43,CZ1511-45,60.0,45.0,60.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-45.wav,3.0,"Which difficulty level is the piece, in a scale of 9?",3
