,id,technique,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,webpage_url,channel_url,Scales,Arpeggios,Ornaments,Repeatednotes,Doublenotes,Octave,Staccato,split,audio_path,Q,A
176,YYE3N8sVzyQ,Staccato,"Etude in C Major, Op. 599 No. 57 by Carl Czerny - Magdalena Haubs",20210908.0,37.0,535.0,14.0,,0.0,https://www.youtube.com/watch?v=YYE3N8sVzyQ,https://www.youtube.com/channel/UCioKouJYJxLIr4bOvurvgpw,0,0,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/YYE3N8sVzyQ.wav,What piano technique is most noticeable?,Staccato
82,xXi3dl5R92c_cut3,Repeatednotes|Staccato,Mozart - Piano Sonata No.8 in A Minor - II. Andante cantabile [Sheet Music] (Piano Solo),20160122.0,645.0,55222.0,609.0,,33.0,https://www.youtube.com/watch?v=xXi3dl5R92c,https://www.youtube.com/channel/UCvvYVO8q5wF66DPaO2rW18Q,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/xXi3dl5R92c_cut3.wav,What is the most prominent piano technique employed in this track?,Repeatednotes
30,B4qtWa7uzqQ,Arpeggios,36 bB大调练习曲 跨越,20150520.0,57.0,369.0,0.0,,0.0,https://www.youtube.com/watch?v=B4qtWa7uzqQ,https://www.youtube.com/channel/UC36fRPbLVO2oQ-CxEgjTi_w,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/B4qtWa7uzqQ.wav,What is the most prominent piano technique employed in this track?,Arpeggios
190,Octave|Arpeggios_1,Octave|Arpeggios,Octave|Arpeggios_1.wav,,19.30666666666667,,,,,,,0,1,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave|Arpeggios_1.wav,What piano technique is most noticeable?,Octave
66,rPeR98tXglE,Octave,2018.11.5彥伯鋼琴彈奏八度音左右手三度音程練習,20181119.0,34.0,574.0,2.0,,0.0,https://www.youtube.com/watch?v=rPeR98tXglE,https://www.youtube.com/channel/UCEHsqPvHFIW7ZQaWYjajCQg,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/rPeR98tXglE.wav,What piano technique is most noticeable?,Octave
111,SCKDG7w2S9c_cut,Repeatednotes|Staccato,"Ravel - Miroirs No. 4, ""Alborada del Gracioso"" Sheet Music + Audio",20100828.0,398.0,691568.0,5362.0,,0.0,https://www.youtube.com/watch?v=SCKDG7w2S9c,https://www.youtube.com/channel/UCZzz6USh6Fq07iZDFpDWE5A,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/SCKDG7w2S9c_cut.wav,What is the most prominent piano technique employed in this track?,Repeatednotes
55,AL4ni6-T8Ys,Doublenotes|Staccato,"Czerny - The Art of Finger Dexterity Op.740, Book I - No.30",20210402.0,120.0,637.0,11.0,,12.0,https://www.youtube.com/watch?v=AL4ni6-T8Ys,https://www.youtube.com/channel/UCTrb6qcYgOjj2Wh-9iQnmsQ,0,0,0,0,1,0,1,train,/data/scratch/acw630/PianoJudge/techniques/AL4ni6-T8Ys.wav,Which piano technique stands out the most in this composition?,Doublenotes
67,XZO03W_6I6A,Octave|Staccato,Franz Liszt: La Campanella (Grandes Etudes de Paganini),20200526.0,42.0,328483.0,21707.0,,658.0,https://www.youtube.com/watch?v=XZO03W_6I6A,https://www.youtube.com/channel/UCtlx_VQMBF0-gS5n5BRD_nw,0,0,0,0,0,1,1,train,/data/scratch/acw630/PianoJudge/techniques/XZO03W_6I6A.wav,What is the most prominent piano technique employed in this track?,Octave
170,MvuVChCz2Gk,Scales,#warmups #warmingup #forthepiano #pianotime #scalesarefuntoplay #piano #marilyn #funtimes #musiclove,20231030.0,10.0,23.0,5.0,,2.0,https://www.youtube.com/watch?v=MvuVChCz2Gk,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/MvuVChCz2Gk.wav,Can you identify the dominant piano technique in this track?,Scales
118,F_8IyBlViQ8_cut,Repeatednotes|Staccato,"Burgmüller: The Chatterbox, Op. 100 No. 17 | Cory Hall, pianist-composer",20130703.0,63.0,52660.0,432.0,,18.0,https://www.youtube.com/watch?v=F_8IyBlViQ8,https://www.youtube.com/channel/UCuHRjYQVbZ1r48LL8MODEtw,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/F_8IyBlViQ8_cut.wav,Can you identify the dominant piano technique in this track?,Repeatednotes
69,8ANOtyAvdTU,Octave|Scales,Scales in broken octaves - d minor (分散八度音階 - D小調),20231207.0,56.0,56.0,1.0,,0.0,https://www.youtube.com/watch?v=8ANOtyAvdTU,https://www.youtube.com/channel/UCHnp2zMd9K6Flh012MP6EDA,1,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/8ANOtyAvdTU.wav,Which piano technique stands out the most in this composition?,Octave
93,lXmjEkx4yjM_cut,Ornaments|Staccato,scarlatti sonata E major K20 - L375,20110321.0,212.0,62715.0,380.0,,22.0,https://www.youtube.com/watch?v=lXmjEkx4yjM,https://www.youtube.com/channel/UCx5HbfNJV2LZwXSbzXrxHaw,0,0,1,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/lXmjEkx4yjM_cut.wav,What is the primary piano technique used in this track?,Ornaments
16,BiL7YPcezpU,Arpeggios,G Minor Triads (hands separate) #gminor #triads #scales #pianopractice #pianotime #practicingscales,20240203.0,22.0,16.0,2.0,,1.0,https://www.youtube.com/watch?v=BiL7YPcezpU,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/BiL7YPcezpU.wav,Can you identify the dominant piano technique in this track?,Arpeggios
109,PAKtfkh0C1M_cut7,Repeatednotes,Great Pianists' Technique: Repeated Notes,20110829.0,924.0,97505.0,763.0,,77.0,https://www.youtube.com/watch?v=PAKtfkh0C1M,https://www.youtube.com/channel/UCOMf9cfYumvUhav6gzL4ERg,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/PAKtfkh0C1M_cut7.wav,What piano technique is most noticeable?,Repeatednotes
155,GTEQhRwGwEI,Scales,降B大調音階  河合拜爾下冊,20211005.0,18.0,623.0,3.0,,0.0,https://www.youtube.com/watch?v=GTEQhRwGwEI,https://www.youtube.com/channel/UCAJ8qdINIVVOwNAcHRp6T6Q,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/GTEQhRwGwEI.wav,Can you identify the dominant piano technique in this track?,Scales
112,yWFzqMZvLYQ,Repeatednotes,"Carl Czerny, Op. 599, No. 68",20171221.0,40.0,3134.0,66.0,,,https://www.youtube.com/watch?v=yWFzqMZvLYQ,https://www.youtube.com/channel/UCK7oVRlHAcQVFQd6cMNvQOg,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/yWFzqMZvLYQ.wav,Which piano technique stands out the most in this composition?,Repeatednotes
143,b1GU9fpks4M,Scales,视频: 上音考级8级音阶,20130707.0,32.0,286.0,0.0,,0.0,https://www.youtube.com/watch?v=b1GU9fpks4M,https://www.youtube.com/channel/UCmdLmFfyrR0_BRGC_BonNJQ,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/b1GU9fpks4M.wav,What is the primary piano technique used in this track?,Scales
197,Octave_3,Octave,Octave_3.wav,,20.224013605442178,,,,,,,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave_3.wav,Which piano technique stands out the most in this composition?,Octave
211,Repeatednotes_ravel_2,Repeatednotes,Repeatednotes_ravel_2.wav,,21.78133786848073,,,,,,,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Repeatednotes_ravel_2.wav,Can you identify the dominant piano technique in this track?,Repeatednotes
79,Nw1BAqrKvjM,Ornaments,"Carl Czerny, Op 777, 22",20120504.0,30.0,8117.0,43.0,,0.0,https://www.youtube.com/watch?v=Nw1BAqrKvjM,https://www.youtube.com/channel/UCsSOLdpj2noIe2ckspOg50g,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Nw1BAqrKvjM.wav,Which piano technique stands out the most in this composition?,Ornaments
139,qJ0KorNJHmI,Scales,Piano：C大调音阶；G大调音阶,20200924.0,70.0,160.0,3.0,,0.0,https://www.youtube.com/watch?v=qJ0KorNJHmI,https://www.youtube.com/channel/UChQGlAB7klnGt749PaS7tww,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/qJ0KorNJHmI.wav,What is the primary piano technique used in this track?,Scales
140,rqnUhZLlgsU,Scales,宗遠：鋼琴技巧「半音階」,20190518.0,15.0,51.0,1.0,,0.0,https://www.youtube.com/watch?v=rqnUhZLlgsU,https://www.youtube.com/channel/UCKd5BBYXDC-tj_m7aWsU7Mg,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/rqnUhZLlgsU.wav,Can you identify the dominant piano technique in this track?,Scales
119,pJ5UmwxdaEM,Repeatednotes,大毛-《音階歌》鋼琴彈奏,20141203.0,27.0,272.0,1.0,,,https://www.youtube.com/watch?v=pJ5UmwxdaEM,https://www.youtube.com/channel/UCiRk9MGwW--RDRAjijaW_Fg,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/pJ5UmwxdaEM.wav,Can you identify the dominant piano technique in this track?,Repeatednotes
219,Octave_franck_1,Octave,Octave_franck_1.wav,,44.074671201814056,,,,,,,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave_franck_1.wav,Which piano technique stands out the most in this composition?,Octave
84,xXi3dl5R92c_cut5,Ornaments,Mozart - Piano Sonata No.8 in A Minor - II. Andante cantabile [Sheet Music] (Piano Solo),20160122.0,645.0,55222.0,609.0,,33.0,https://www.youtube.com/watch?v=xXi3dl5R92c,https://www.youtube.com/channel/UCvvYVO8q5wF66DPaO2rW18Q,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/xXi3dl5R92c_cut5.wav,Can you identify the dominant piano technique in this track?,Ornaments
124,_lW2AXcugp4,Repeatednotes,Recuerdos de la Alhambra - Francisco Tárrega - PIANO SOLO P. Barton,20150815.0,244.0,249543.0,5586.0,,292.0,https://www.youtube.com/watch?v=_lW2AXcugp4,https://www.youtube.com/channel/UC-4HMv1j00QTebcFg4mV2DQ,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/_lW2AXcugp4.wav,Can you identify the dominant piano technique in this track?,Repeatednotes
73,M1dGRk9lYl4,Octave,熟练的八度弹奏练习,20210409.0,132.0,46.0,0.0,,,https://www.youtube.com/watch?v=M1dGRk9lYl4,https://www.youtube.com/channel/UC6rDI8qJ6xWBbe-LHKQbt8A,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/M1dGRk9lYl4.wav,Which piano technique stands out the most in this composition?,Octave
150,ZNxCuihDFeU,Scales,2022.10.11安淇鋼琴彈奏［F大調音階］,20221011.0,23.0,12.0,0.0,,,https://www.youtube.com/watch?v=ZNxCuihDFeU,https://www.youtube.com/channel/UCEHsqPvHFIW7ZQaWYjajCQg,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/ZNxCuihDFeU.wav,What is the primary piano technique used in this track?,Scales
95,JRiumYw-buA_cut2,Repeatednotes|Staccato,Scarlatti - Selected Sonatas (Pletnev),20180709.0,2277.0,274213.0,3994.0,,148.0,https://www.youtube.com/watch?v=JRiumYw-buA,https://www.youtube.com/channel/UCn8_44BnszBokQ8LOc8WlMA,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/JRiumYw-buA_cut2.wav,Can you identify the dominant piano technique in this track?,Repeatednotes
117,GJ4qCMacMlA_cut2,Repeatednotes,"Burgmüller: The Return, Op. 100 No. 23 | Cory Hall, pianist-composer",20130704.0,80.0,75094.0,817.0,,38.0,https://www.youtube.com/watch?v=GJ4qCMacMlA,https://www.youtube.com/channel/UCuHRjYQVbZ1r48LL8MODEtw,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/GJ4qCMacMlA_cut2.wav,What is the primary piano technique used in this track?,Repeatednotes
75,STy9GPeuNEY_cut,Ornaments,"Mendelssohn - Venetian Boat Song Op. 30, No. 6 - 28,600pts",20190420.0,202.0,75538.0,1249.0,,76.0,https://www.youtube.com/watch?v=STy9GPeuNEY,https://www.youtube.com/channel/UCkJdCeU3y3_IXVCrjUE2d4w,0,0,1,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/STy9GPeuNEY_cut.wav,Which piano technique stands out the most in this composition?,Ornaments
101,JQGCecX2d_Q_cut1,Ornaments|Staccato,scarlatti sonata A major K24 - L495,20110324.0,294.0,95449.0,643.0,,33.0,https://www.youtube.com/watch?v=JQGCecX2d_Q,https://www.youtube.com/channel/UCx5HbfNJV2LZwXSbzXrxHaw,0,0,1,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/JQGCecX2d_Q_cut1.wav,Which piano technique stands out the most in this composition?,Ornaments
146,5W-XBL5COxI,Scales,C major full scale. C大調全音階 | Piano daily鋼琴日常 | 2022年12月21日🎶🎹🎶Bruce Rains(Age 6),20221221.0,36.0,15.0,1.0,,1.0,https://www.youtube.com/watch?v=5W-XBL5COxI,https://www.youtube.com/channel/UC_Dtg0-AWsf08d4fThNae1g,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/5W-XBL5COxI.wav,What is the most prominent piano technique employed in this track?,Scales
141,2g_ddZ-IceU,Scales,拜厄 65 C大调音阶,20150505.0,69.0,376.0,2.0,,0.0,https://www.youtube.com/watch?v=2g_ddZ-IceU,https://www.youtube.com/channel/UC36fRPbLVO2oQ-CxEgjTi_w,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/2g_ddZ-IceU.wav,What piano technique is most noticeable?,Scales
38,6IgJQ5aUiRU,Doublenotes,拜厄钢琴基础教程 No67,20171201.0,22.0,3339.0,19.0,,1.0,https://www.youtube.com/watch?v=6IgJQ5aUiRU,https://www.youtube.com/channel/UCDxpW90bwh941_tu5_RojRQ,0,0,0,1,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/6IgJQ5aUiRU.wav,What piano technique is most noticeable?,Doublenotes
24,eme_SAE6rok,Arpeggios,Carl Czerny 50 Etude Op.740 No.46 - Francesco Libetta (in tempo),20200304.0,83.0,10113.0,124.0,,7.0,https://www.youtube.com/watch?v=eme_SAE6rok,https://www.youtube.com/channel/UC84dAlC7fM8Yc2ervk7qFew,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/eme_SAE6rok.wav,Can you identify the dominant piano technique in this track?,Arpeggios
180,_dRAAuYcKyw,Staccato|Repeatednotes,Béla Bartók - Mikrokosmos Book 5 - No. 124 - Staccato,20231222.0,65.0,51.0,3.0,,0.0,https://www.youtube.com/watch?v=_dRAAuYcKyw,https://www.youtube.com/channel/UCYMo7tAr2TkkvfR5f5Uyr3w,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/_dRAAuYcKyw.wav,What piano technique is most noticeable?,Staccato
181,Staccato_1,Staccato,Staccato_1.wav,,15.808004535147392,,,,,,,0,0,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/Staccato_1.wav,Can you identify the dominant piano technique in this track?,Staccato
195,Repeatednotes|Staccato,Repeatednotes|Staccato,Repeatednotes|Staccato.wav,,36.864013605442175,,,,,,,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/Repeatednotes|Staccato.wav,What is the most prominent piano technique employed in this track?,Repeatednotes
127,RwBVzJFW46Q,Scales,G- Harmonic #handstogether #scales #gminor #harmonic #pianotimeagain #Marilyn #piano #gminorscales,20240104.0,15.0,364.0,7.0,,2.0,https://www.youtube.com/watch?v=RwBVzJFW46Q,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/RwBVzJFW46Q.wav,What piano technique is most noticeable?,Scales
29,BqiSIOFQSFk,Arpeggios,E+ Triad #scales #EMajorTriad #piano #pianotime #pianopractice #practicing #marilyn #autumn2023,20231118.0,24.0,75.0,4.0,,0.0,https://www.youtube.com/watch?v=BqiSIOFQSFk,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/BqiSIOFQSFk.wav,Which piano technique stands out the most in this composition?,Arpeggios
19,DhfTJRkP1es,Arpeggios,Bach巴赫小步舞曲 练习密集位置的三和弦琶音,20200717.0,87.0,217.0,4.0,,,https://www.youtube.com/watch?v=DhfTJRkP1es,https://www.youtube.com/channel/UCBOVRjN_PXdRP-icT3R2oEA,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/DhfTJRkP1es.wav,What piano technique is most noticeable?,Arpeggios
164,2NofNw2QTAw,Scales,钢琴基础音阶：A大调音阶；a小调音阶,20201020.0,96.0,507.0,5.0,,0.0,https://www.youtube.com/watch?v=2NofNw2QTAw,https://www.youtube.com/channel/UChQGlAB7klnGt749PaS7tww,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/2NofNw2QTAw.wav,Which piano technique stands out the most in this composition?,Scales
198,Octave|Arpeggios_franck_2,Octave|Arpeggios,Octave|Arpeggios_franck_2.wav,,23.59467120181406,,,,,,,0,1,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/Octave|Arpeggios_franck_2.wav,What is the primary piano technique used in this track?,Octave
206,Doublenotes_1,Doublenotes,Doublenotes_1.wav,,16.042653061224488,,,,,,,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Doublenotes_1.wav,What is the most prominent piano technique employed in this track?,Doublenotes
113,S0L7v8GB_zM_cut,Repeatednotes|Staccato,"Philip Glass: Études, No. 6",20221107.0,295.0,6442.0,140.0,,9.0,https://www.youtube.com/watch?v=S0L7v8GB_zM,https://www.youtube.com/channel/UCqsTHUhVmtYXchi2hvmxvMg,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/S0L7v8GB_zM_cut.wav,Which piano technique stands out the most in this composition?,Repeatednotes
5,ZXWcf-P3I3k,Arpeggios,2016 07 01_E7琶音及倒琶快速版,20160728.0,7.0,150.0,0.0,,0.0,https://www.youtube.com/watch?v=ZXWcf-P3I3k,https://www.youtube.com/channel/UCgt0BrBoI7RsrcV250EK4Fw,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/ZXWcf-P3I3k.wav,What is the most prominent piano technique employed in this track?,Arpeggios
56,AePvsx9w9f4_cut,Doublenotes,Czerny op 299 no 29,20220115.0,96.0,4106.0,73.0,,10.0,https://www.youtube.com/watch?v=AePvsx9w9f4,https://www.youtube.com/channel/UCUI8y2SNgwH3ltgH_DQVoLQ,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/AePvsx9w9f4_cut.wav,What piano technique is most noticeable?,Doublenotes
182,Arpeggios_e_mior,Arpeggios,Arpeggios_e_mior.wav,,10.19734693877551,,,,,,,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Arpeggios_e_mior.wav,What piano technique is most noticeable?,Arpeggios
135,ri4-rYzHyjA,Scales,E Major Contrary Motion #scales #practicingscales #pianotime #practice #piano #emajor #marilyn #fun,20231110.0,9.0,37.0,5.0,,2.0,https://www.youtube.com/watch?v=ri4-rYzHyjA,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/ri4-rYzHyjA.wav,Can you identify the dominant piano technique in this track?,Scales
