audio_path,question,output,output_rating,gt,question_id,question_category,mae
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['4'],4.0,4,4,coordination,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,4,5,tone production,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['4'],4.0,4,6,articulation,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['4'],4.0,5,9,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,5,10,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,5,11,articulation,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['4'],4.0,4,12,tone production,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['6'],6.0,5,13,dynamics,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,1,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,2,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['5'],5.0,6,4,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,5,5,tone production,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['5'],5.0,6,6,articulation,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['5'],5.0,6,9,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,6,10,rhythm and tempo,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,4,11,articulation,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['5'],5.0,5,12,tone production,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['5'],5.0,2,13,dynamics,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,1,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,2,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['5'],5.0,4,4,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['5'],5.0,2,5,tone production,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['5'],5.0,2,6,articulation,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['5'],5.0,4,9,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,4,10,rhythm and tempo,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,6,11,articulation,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['5'],5.0,4,12,tone production,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['5'],5.0,5,13,dynamics,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,1,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,2,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate if the legato is even, on a scale of 0 to 6?",['4'],4.0,5,3,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['4'],4.0,5,4,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,2,5,tone production,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['1'],1.0,5,6,articulation,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the balance between the left and right hands, on a scale of 0 to 6?",['4'],4.0,5,7,dynamics,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the alignment of timings between the left and right hands, on a scale of 0 to 6?",['4'],4.0,5,8,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['4'],4.0,6,9,rhythm and tempo,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,2,10,rhythm and tempo,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,5,11,articulation,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['4'],4.0,5,12,tone production,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['4'],4.0,5,13,dynamics,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,1,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,2,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate if the legato is even, on a scale of 0 to 6?",['4'],4.0,2,3,coordination,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['4'],4.0,1,4,coordination,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,2,5,tone production,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['4'],4.0,2,6,articulation,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the balance between the left and right hands, on a scale of 0 to 6?",['4'],4.0,2,7,dynamics,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the alignment of timings between the left and right hands, on a scale of 0 to 6?",['4'],4.0,2,8,coordination,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['4'],4.0,3,9,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,0,10,rhythm and tempo,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,3,11,articulation,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['4'],4.0,2,12,tone production,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/63218a11c6190f3921803bd7_64462e480d12a78974fafa56.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['4'],4.0,2,13,dynamics,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,1,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,2,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['4'],4.0,1,4,coordination,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,1,5,tone production,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['5'],5.0,1,6,articulation,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['4'],4.0,1,9,rhythm and tempo,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,5,10,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,1,11,articulation,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['4'],4.0,0,12,tone production,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['5'],5.0,1,13,dynamics,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,1,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,2,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['4'],4.0,4,4,coordination,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,4,5,tone production,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['4'],4.0,4,6,articulation,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['4'],4.0,5,9,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,5,10,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,5,11,articulation,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['4'],4.0,4,12,tone production,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['6'],6.0,5,13,dynamics,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,1,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,2,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['5'],5.0,6,4,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,5,5,tone production,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['5'],5.0,6,6,articulation,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['5'],5.0,6,9,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,6,10,rhythm and tempo,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,4,11,articulation,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['5'],5.0,5,12,tone production,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63218a05c6190f3921803bc1_644634fa0d12a78974fb85a1.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['5'],5.0,2,13,dynamics,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,1,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,2,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['5'],5.0,4,4,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['5'],5.0,2,5,tone production,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['5'],5.0,2,6,articulation,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['5'],5.0,4,9,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,4,10,rhythm and tempo,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,6,11,articulation,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['5'],5.0,4,12,tone production,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_13_pp/63f5a6c7ed069d3f0bb94b25_63f5cdaaed069d3f0bba7443.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['5'],5.0,5,13,dynamics,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,1,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['5'],5.0,3,2,summary,2.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate if the legato is even, on a scale of 0 to 6?",['4'],4.0,5,3,coordination,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/S_2/61f09e070a688c4b065d55e0_63eb160eed069d3f0bb2cd4a.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['4'],4.0,5,4,coordination,1.0
