,split,audio_path,shape,Q,A
13,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0310.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
14,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0310.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
15,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0325.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
16,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0325.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
17,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0340.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
18,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0340.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
19,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0008.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
20,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0008.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
21,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0008.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
22,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0299.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
23,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0299.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
24,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0245.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
25,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0245.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
26,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0311.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
27,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0311.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
28,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0290.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
29,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0290.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
30,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0263.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
31,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0263.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
32,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0302.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
33,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0302.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
34,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0327.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
35,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0327.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
36,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0342.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
37,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0342.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
38,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0344.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
39,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0344.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
40,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0343.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
41,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0343.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
42,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0270.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
43,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0270.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
44,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0298.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
45,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0298.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
46,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0027.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
47,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0027.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
48,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0027.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
49,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0330.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
50,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0330.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
51,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0308.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
52,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0308.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
53,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0329.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
54,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0329.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
55,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0003.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
56,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0003.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
57,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0003.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
58,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0237.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
59,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0237.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
60,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0276.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
61,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0276.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
62,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0017.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
63,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0017.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
64,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0017.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
65,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0268.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
66,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0268.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
67,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0023.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
68,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0023.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
69,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0023.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
70,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0282.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
71,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0282.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
72,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0345.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
73,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0345.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
74,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0339.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
75,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0339.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
76,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0323.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
77,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0323.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
78,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0259.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
79,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0259.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
80,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0320.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
81,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0320.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
82,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0291.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
83,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0291.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
84,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0021.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
85,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0021.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
86,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0021.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
87,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0280.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
88,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0280.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
89,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0032.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
90,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0032.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
91,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0032.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
92,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0284.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
93,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0284.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
94,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0012.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
95,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0012.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
96,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0012.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
97,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0265.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
98,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0265.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
99,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0287.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
100,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0287.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
101,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0319.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
102,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0319.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
103,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0244.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
104,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0244.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
105,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0256.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
106,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0256.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
107,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0241.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
108,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0241.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
109,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0322.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
110,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0322.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
111,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0272.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
112,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0272.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
113,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0250.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
114,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0250.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
115,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0286.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
116,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0286.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
117,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0281.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
118,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0281.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
119,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0022.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
120,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0022.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
121,test,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0022.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
122,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0288.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
123,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0288.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
124,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0251.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
125,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0251.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
126,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0009.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
127,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0009.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
128,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0009.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
129,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0257.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
130,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0257.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
131,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0295.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
132,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0295.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
133,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0254.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
134,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0254.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
135,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0005.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
136,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0005.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
137,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0005.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
138,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0018.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
139,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0018.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
140,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0018.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
141,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0019.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
142,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0019.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
143,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0019.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
144,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0016.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
145,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0016.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
146,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0016.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
147,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0273.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
148,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0273.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
149,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0029.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
150,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0029.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
151,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0029.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
